Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
200,2022.016,0.059,0,6p21/2,"(1/2,1/2)",0,1
200,2022.016,0.059,49439.616,6p3/27s1/2,"(3/2,1/2)бу",1,3
200,2053.284,0.102,0,6p21/2,"(1/2,1/2)",0,1
200,2053.284,0.102,48686.934,6p1/28s1/2,"(1/2,1/2)бу",1,3
150,2170.005,1.5,0,6p21/2,"(1/2,1/2)",0,1
150,2170.005,1.5,46068.438,6p1/26d,2[3/2]бу,1,3
200,2614.175,1.9,7819.263,6p1/26p3/2,"(1/2,3/2)",1,3
200,2614.175,1.9,46060.836,6p1/26d,2[3/2]бу,2,5
300,2801.995,1.6,10650.327,6p1/26p3/2,"(1/2,3/2)",2,5
300,2801.995,1.6,46328.667,6p1/26d,2[5/2]бу,3,7
300,2833.053,0.58,0,6p21/2,"(1/2,1/2)",0,1
300,2833.053,0.58,35287.224,6p1/27s1/2,"(1/2,1/2)бу",1,3
150,3639.568,0.34,7819.263,6p1/26p3/2,"(1/2,3/2)",1,3
150,3639.568,0.34,35287.224,6p1/27s1/2,"(1/2,1/2)бу",1,3
400,3683.462,1.5,7819.263,6p1/26p3/2,"(1/2,3/2)",1,3
400,3683.462,1.5,34959.908,6p1/27s1/2,"(1/2,1/2)бу",0,1
80,3739.935,0.73,21457.798,6p23/2,"(3/2,3/2)",2,5
80,3739.935,0.73,48188.63,6p3/27s1/2,"(3/2,1/2)бу",2,5
1000,4057.807,0.89,10650.327,6p1/26p3/2,"(1/2,3/2)",2,5
1000,4057.807,0.89,35287.224,6p1/27s1/2,"(1/2,1/2)бу",1,3
15,4062.136,0.92,21457.798,6p23/2,"(3/2,3/2)",2,5
15,4062.136,0.92,46068.438,6p1/26d,2[3/2]бу,1,3
